Country,Customer ID,revenue,country_customer_rank
Canada,17844.0,51.56,5
Channel Islands,14936.0,12410.81,1
Channel Islands,14442.0,5367.02,2
Channel Islands,14930.0,5236.7300000000005,3
Channel Islands,14566.0,4092.0,4
Channel Islands,14934.0,3503.5,5
Channel Islands,14935.0,2849.83,6
Channel Islands,14564.0,2605.62,7
Channel Islands,14938.0,2322.43,8
Channel Islands,14933.0,1770.0,9
Channel Islands,14937.0,1621.88,10
Channel Islands,14931.0,1257.68,11
Channel Islands,14568.0,919.7,12
Channel Islands,14932.0,666.13,13
Cyprus,12359.0,8873.39,1
Cyprus,12455.0,5111.99,2
Cyprus,12370.0,3264.7400000000002,3
Cyprus,12391.0,2724.84,4
Cyprus,12439.0,1142.88,5
Cyprus,12368.0,917.7,6
Cyprus,13809.0,679.6999999999999,7
Cyprus,12365.0,641.38,8
Cyprus,12420.0,600.39,9
Cyprus,12366.0,500.24,10
Cyprus,12457.0,392.7,11
Czech Republic,12781.0,826.74,1
Denmark,13902.0,34095.26,1
Denmark,12435.0,13925.93,2
Denmark,12406.0,6390.36,3
Denmark,12429.0,5766.43,4
Denmark,12412.0,2596.93,5
Denmark,13919.0,1360.68,6
Denmark,12372.0,1298.04,7
Denmark,12403.0,1019.36,8
Denmark,12394.0,891.4,9
Denmark,12449.0,768.6,10
Denmark,12423.0,298.8,11
Denmark,12367.0,168.9,12
EIRE,14156.0,313437.62,1
EIRE,14911.0,291420.81,2
EIRE,14016.0,11403.41,3
EIRE,12745.0,201.56,4
EIRE,16047.0,107.14,5
European Community,15108.0,1300.25,1
Finland,12428.0,7956.46,1
Finland,12664.0,6070.04,2
Finland,12631.0,3481.57,3
Finland,12704.0,2340.84,4
Finland,12348.0,2019.3999999999999,5
Finland,12582.0,1980.4,6
Finland,12405.0,1710.39,7
Finland,12630.0,1270.88,8
Finland,12588.0,958.78,9
Finland,12696.0,851.91,10
Finland,12667.0,620.13,11
Finland,12375.0,457.5,12
Finland,12587.0,144.0,13
Finland,12404.0,63.24,14
France,12678.0,34281.18,1
France,12681.0,29834.760000000002,2
France,12731.0,25775.71,3
France,12682.0,22950.22,4
France,14277.0,17197.61,5
France,12714.0,14093.710000000001,6
France,12583.0,13591.58,7
France,12437.0,12683.4,8
France,12536.0,12601.830000000002,9
France,12567.0,11767.48,10
France,12683.0,11633.7,11
France,12490.0,9823.64,12
France,12643.0,8304.82,13
France,12637.0,8283.81,14
France,12656.0,6407.83,15
France,12615.0,5740.9800000000005,16
France,12727.0,5679.53,17
France,12562.0,4966.92,18
France,12700.0,4939.99,19
France,12589.0,4695.66,20
France,12553.0,4608.75,21
France,12598.0,4534.09,22
France,12523.0,4352.35,23
France,12726.0,4014.6,24
France,12721.0,4013.08,25
France,12670.0,3760.29,26
France,12737.0,3710.5,27
France,12685.0,2863.08,28
France,12669.0,2744.0299999999997,29
France,12724.0,2317.52,30
France,12599.0,2296.72,31
France,12684.0,2283.63,32
France,12674.0,1970.6,33
France,12694.0,1843.35,34
France,12494.0,1815.27,35
France,12657.0,1643.18,36
France,12577.0,1617.1,37
France,12695.0,1407.1200000000001,38
France,12620.0,1339.41,39
France,12488.0,1298.66,40
France,12689.0,1247.61,41
France,12640.0,1174.58,42
France,12691.0,1170.4,43
France,12616.0,1131.1,44
France,12679.0,1113.02,45
France,12728.0,1070.17,46
France,12716.0,1053.49,47
France,12722.0,997.63,48
France,12525.0,973.73,49
France,12652.0,919.98,50
France,12680.0,880.81,51
France,12735.0,779.5699999999999,52
France,12413.0,758.1,53
France,12723.0,725.07,54
France,12573.0,717.41,55
France,12535.0,716.35,56
France,12719.0,644.95,57
France,12624.0,641.13,58
France,12734.0,639.65,59
France,12575.0,622.82,60
France,12513.0,612.29,61
France,12707.0,603.42,62
France,12571.0,519.61,63
France,12491.0,460.40000000000003,64
France,12564.0,456.90000000000003,65
France,12729.0,453.01,66
France,12579.0,440.42,67
France,12672.0,437.05,68
France,12493.0,433.74,69
France,12740.0,427.6,70
France,12593.0,418.1,71
France,12508.0,397.88,72
France,12677.0,395.1,73
France,12690.0,389.01,74
France,12651.0,377.75,75
France,12617.0,352.98,76
France,12532.0,349.83000000000004,77
France,12489.0,334.93,78
France,12529.0,316.48,79
France,12650.0,314.44,80
France,12655.0,261.35,81
France,12604.0,254.18,82
France,12660.0,245.10000000000002,83
France,12718.0,238.25,84
France,12732.0,236.26000000000002,85
France,12736.0,234.0,86
France,12574.0,218.45000000000002,87
France,12509.0,176.5,88
France,12441.0,173.55,89
France,12602.0,153.12,90
France,12692.0,110.95,91
France,12659.0,91.67999999999999,92
France,12686.0,89.14,93
France,12506.0,73.5,94
France,12466.0,56.73,95
Germany,12471.0,39918.19,1
Germany,12709.0,30291.76,2
Germany,12621.0,24311.2,3
Germany,12477.0,20276.37,4
Germany,12647.0,16955.55,5
Germany,12472.0,16249.29,6
Germany,12476.0,14083.91,7
Germany,12474.0,12372.75,8
Germany,12481.0,12185.51,9
Germany,12705.0,11762.1,10
Germany,12668.0,11383.03,11
Germany,12524.0,11126.11,12
Germany,12590.0,9864.26,13
Germany,12720.0,7787.28,14
Germany,13815.0,7475.74,15
Germany,12613.0,6817.37,16
Germany,12662.0,6726.54,17
Germany,12712.0,6723.03,18
Germany,12626.0,6620.4800000000005,19
Germany,12497.0,6248.5,20
Germany,12500.0,5955.21,21
Germany,12633.0,5678.16,22
Germany,12480.0,5464.85,23
Germany,12625.0,5164.88,24
Germany,12708.0,5117.66,25
Germany,12600.0,4967.42,26
Germany,12627.0,4478.53,27
Germany,12569.0,4124.6900000000005,28
Germany,12473.0,3928.05,29
Germany,12619.0,3781.3799999999997,30
Germany,12530.0,3759.26,31
Germany,12623.0,3747.84,32
Germany,12468.0,3670.7400000000002,33
Germany,12645.0,3539.3,34
Germany,12609.0,3435.86,35
Germany,12635.0,2930.41,36
Germany,13813.0,2765.4700000000003,37
Germany,12516.0,2648.62,38
Germany,12520.0,2634.26,39
Germany,12671.0,2622.481,40
Germany,12592.0,2582.66,41
Germany,12517.0,2481.6,42
Germany,12701.0,2446.41,43
Germany,12649.0,2294.65,44
Germany,13814.0,2257.32,45
Germany,12501.0,2169.39,46
Germany,12560.0,2134.01,47
Germany,12518.0,2056.89,48
Germany,12585.0,2040.1,49
Germany,12528.0,1933.48,50
Germany,12531.0,1933.2,51
Germany,12644.0,1918.49,52
Germany,12693.0,1703.02,53
Germany,13810.0,1499.01,54
Germany,12533.0,1367.89,55
Germany,12426.0,1345.21,56
Germany,12711.0,1339.05,57
Germany,12526.0,1316.66,58
Germany,12605.0,1232.95,59
Germany,12673.0,1230.02,60
Germany,12475.0,1149.64,61
Germany,12710.0,1149.02,62
Germany,12648.0,1112.0,63
Germany,12534.0,1089.18,64
Germany,12580.0,1052.9,65
Germany,12572.0,1020.4200000000001,66
Germany,12642.0,1013.26,67
Germany,12703.0,1006.53,68
Germany,12713.0,848.55,69
Germany,12730.0,829.25,70
Germany,12427.0,825.8,71
Germany,13811.0,814.5,72
Germany,12632.0,804.88,73
Germany,12628.0,786.46,74
Germany,12504.0,779.05,75
Germany,12603.0,739.1999999999999,76
Germany,12527.0,735.51,77
Germany,12519.0,716.54,78
Germany,12492.0,715.21,79
Germany,12612.0,704.04,80
Germany,12658.0,686.05,81
Germany,12601.0,681.26,82
Germany,12699.0,638.11,83
Germany,12654.0,601.98,84
Germany,12521.0,599.68,85
Germany,13816.0,571.6700000000001,86
Germany,12559.0,561.71,87
Germany,13812.0,539.0,88
Germany,12479.0,527.2,89
Germany,14335.0,454.86,90
Germany,12498.0,403.70000000000005,91
Germany,12499.0,393.72,92
Germany,13817.0,382.98,93
Germany,12566.0,351.65,94
Germany,12698.0,339.75,95
Germany,12614.0,315.6,96
Germany,12665.0,313.6,97
Germany,12595.0,299.02,98
Germany,12663.0,239.4,99
Germany,12561.0,238.85,100
Germany,12702.0,219.0,101
Germany,12581.0,197.71,102
Germany,12522.0,192.72,103
Germany,12622.0,180.1,104
Germany,12738.0,155.35,105
Germany,12652.0,97.05000000000001,106
Germany,12568.0,70.0,107
Greece,14439.0,9443.04,1
Greece,17508.0,4579.23,2
Greece,12511.0,3084.02,3
Greece,12717.0,1308.91,4
Greece,12478.0,680.99,5
Iceland,12347.0,4921.53,1
Israel,12688.0,4873.81,1
Israel,12653.0,4160.83,2
Israel,12666.0,1248.42,3
Israel,12512.0,132.18,4
Italy,12594.0,5090.110000000001,1
Italy,12578.0,4642.45,2
Italy,12349.0,4428.69,3
Italy,12584.0,2338.15,4
Italy,12725.0,2266.76,5
Italy,12610.0,2099.54,6
Italy,12586.0,2062.67,7
Italy,14912.0,1889.25,8
Italy,12514.0,1597.76,9
Italy,12591.0,1338.95,10
Italy,12611.0,1193.32,11
Italy,12675.0,957.25,12
Italy,12505.0,955.2,13
Italy,12552.0,437.82,14
Italy,12515.0,383.7,15
Italy,12563.0,249.24,16
Italy,12618.0,177.31,17
Japan,12753.0,21429.39,1
Japan,12798.0,8510.93,2
Japan,12755.0,5236.26,3
Japan,12770.0,3246.45,4
Japan,12754.0,3010.7400000000002,5
Japan,12810.0,534.99,6
Japan,12763.0,494.08,7
Japan,12812.0,229.64000000000001,8
Japan,12799.0,219.35,9
Japan,12756.0,112.08,10
Korea,12767.0,949.82,1
Korea,12768.0,168.69,2
Lebanon,12764.0,1693.88,1
Lithuania,15332.0,4892.68,1
Malta,15480.0,6279.0,1
Malta,17828.0,1820.09,2
Netherlands,14646.0,528602.52,1
Netherlands,12759.0,5020.74,2
Netherlands,12806.0,2878.96,3
Netherlands,12802.0,2416.42,4
Netherlands,12778.0,1775.68,5
Netherlands,12813.0,1687.8,6
Netherlands,12775.0,1686.1200000000001,7
Netherlands,12805.0,1434.95,8
Netherlands,12765.0,1404.58,9
Netherlands,12803.0,1092.81,10
Netherlands,12791.0,863.51,11
Netherlands,12787.0,862.1800000000001,12
Netherlands,12761.0,782.95,13
Netherlands,12786.0,728.5,14
Netherlands,12790.0,591.85,15
Netherlands,12788.0,444.90000000000003,16
Netherlands,12796.0,381.0,17
Netherlands,12760.0,347.8,18
Netherlands,12780.0,337.4,19
Netherlands,12804.0,325.37,20
Netherlands,12789.0,273.35,21
Netherlands,12774.0,98.7,22
Nigeria,15702.0,140.39,1
Norway,12433.0,16794.14,1
Norway,15760.0,13916.34,2
Norway,12432.0,5059.32,3
Norway,12444.0,5005.46,4
Norway,12752.0,4366.78,5
Norway,12438.0,2906.85,6
Norway,12352.0,2849.84,7
Norway,15481.0,1993.34,8
Norway,12381.0,1845.31,9
Norway,12436.0,509.01,10
Norway,12443.0,485.31,11
Norway,12350.0,334.40000000000003,12
Norway,12430.0,256.4,13
Poland,12779.0,6474.11,1
Poland,12576.0,2142.7200000000003,2
Poland,12815.0,1063.46,3
Poland,12816.0,572.2,4
Poland,12750.0,275.88,5
Poland,12814.0,125.92,6
Portugal,12758.0,9903.24,1
Portugal,12766.0,8918.99,2
Portugal,12757.0,7834.650000000001,3
Portugal,12356.0,6371.7300000000005,4
Portugal,12782.0,4618.24,5
Portugal,12783.0,2225.91,6
Portugal,12762.0,1898.52,7
Portugal,12784.0,1763.15,8
Portugal,12809.0,1755.94,9
Portugal,12425.0,1741.41,10
Portugal,12785.0,1100.4,11
Portugal,12811.0,1033.9,12
Portugal,12772.0,892.47,13
Portugal,12793.0,885.53,14
Portugal,12794.0,860.41,15
Portugal,12792.0,827.01,16
Portugal,12808.0,776.7,17
Portugal,12800.0,584.25,18
Portugal,12797.0,552.08,19
Portugal,12795.0,430.48,20
Portugal,12771.0,282.3,21
Portugal,12773.0,124.25,22
Portugal,16291.0,117.72,23
Portugal,12776.0,55.5,24
RSA,12446.0,1002.3100000000001,1
RSA,12396.0,931.4300000000001,2
Saudi Arabia,12565.0,145.92000000000002,1
Singapore,12744.0,25317.06,1
Spain,12540.0,22254.49,1
Spain,12557.0,18096.14,2
Spain,12454.0,16679.78,3
Spain,12539.0,11214.75,4
Spain,12484.0,6354.1,5
Spain,12510.0,5178.02,6
Spain,12597.0,3811.22,7
Spain,12502.0,3723.87,8
Spain,12507.0,1844.06,9
Spain,12462.0,1189.59,10
Spain,12546.0,1161.5,11
Spain,17097.0,1143.36,12
Spain,12503.0,1126.0,13
Spain,12421.0,1098.6,14
Spain,12354.0,1079.4,15
Spain,12545.0,1000.39,16
Spain,12541.0,981.18,17
Spain,12543.0,980.25,18
Spain,12550.0,964.83,19
Spain,12455.0,767.96,20
Spain,12450.0,688.2,21
Spain,12538.0,640.45,22
Spain,12417.0,638.36,23
Spain,12596.0,618.27,24
Spain,12556.0,599.56,25
Spain,12419.0,503.01,26
Spain,12542.0,481.88,27
Spain,12554.0,468.5,28
Spain,12459.0,454.36,29
Spain,12448.0,449.45,30
Spain,12445.0,434.98,31
Spain,12547.0,383.58,32
Spain,12544.0,372.7,33
Spain,12413.0,241.35,34
Spain,12442.0,172.06,35
Spain,12551.0,168.0,36
Spain,12555.0,129.23,37
Spain,12548.0,95.19999999999999,38
Spain,12570.0,77.52,39
Spain,12496.0,45.34,40
Spain,12606.0,21.0,41
Sweden,17404.0,47781.12,1
Sweden,12482.0,23691.4,2
Sweden,12483.0,5097.18,3
Sweden,12676.0,2843.09,4
Sweden,12687.0,2138.91,5
Sweden,12629.0,1558.22,6
Sweden,12639.0,1312.3700000000001,7
Sweden,12801.0,1071.82,8
Sweden,12486.0,1037.28,9
Sweden,12697.0,957.59,10
Sweden,12638.0,921.49,11
Sweden,12537.0,732.94,12
Sweden,12485.0,708.1,13
Sweden,12495.0,357.4,14
Sweden,12715.0,343.36,15
Sweden,12807.0,330.35,16
Sweden,12487.0,285.3,17
Sweden,12641.0,185.9,18
Sweden,12661.0,162.0,19
Switzerland,12409.0,23419.29,1
Switzerland,12357.0,18287.66,2
Switzerland,12451.0,12669.88,3
Switzerland,13520.0,6606.0,4
Switzerland,12378.0,5416.32,5
Switzerland,13505.0,4393.63,6
Switzerland,12371.0,4067.38,7
Switzerland,12377.0,3426.32,8
Switzerland,12456.0,3181.04,9
Switzerland,13501.0,2885.11,10
Switzerland,12457.0,2603.21,11
Switzerland,12422.0,2423.7000000000003,12
Switzerland,12418.0,2021.2,13
Switzerland,12458.0,1777.49,14
Switzerland,12398.0,1635.66,15
Switzerland,13492.0,1269.84,16
Switzerland,12410.0,1013.71,17
Switzerland,12461.0,826.88,18
Switzerland,13493.0,618.63,19
Switzerland,12384.0,585.27,20
Switzerland,12376.0,503.15,21
Switzerland,12452.0,430.57,22
Thailand,12469.0,3070.54,1
USA,12733.0,2424.87,1
USA,12607.0,1579.51,2
USA,12549.0,1575.68,3
USA,12646.0,1346.97,4
USA,12634.0,490.0,5
USA,12741.0,406.07,6
USA,12558.0,269.96,7
USA,12636.0,141.0,8
USA,12467.0,132.8,9
United Arab Emirates,17829.0,4756.74,1
United Arab Emirates,12739.0,2726.73,2
United Arab Emirates,12742.0,1201.52,3
United Arab Emirates,12979.0,517.7,4
United Kingdom,18102.0,580987.04,1
United Kingdom,17450.0,244784.25,2
United Kingdom,13694.0,195640.69,3
United Kingdom,17511.0,172132.87,4
United Kingdom,16446.0,168472.5,5
United Kingdom,16684.0,147142.77,6
United Kingdom,15061.0,126389.02,7
United Kingdom,16029.0,117763.62,8
United Kingdom,17949.0,117314.08,9
United Kingdom,15311.0,114966.42,10
United Kingdom,13089.0,113416.91,11
United Kingdom,12931.0,92347.34,12
United Kingdom,14298.0,91194.49,13
United Kingdom,15769.0,88612.52,14
United Kingdom,12346.0,77556.46,15
United Kingdom,13798.0,75428.87,16
United Kingdom,15838.0,73205.5,17
United Kingdom,17841.0,68545.25,18
United Kingdom,16754.0,65500.07,19
United Kingdom,14096.0,65164.79,20
United Kingdom,14088.0,64036.8,21
United Kingdom,16422.0,61920.87,22
United Kingdom,17389.0,57215.33,23
United Kingdom,13081.0,56838.37,24
United Kingdom,16013.0,56078.44,25
United Kingdom,14680.0,55688.5,26
United Kingdom,13093.0,54144.25,27
United Kingdom,12748.0,53539.64,28
United Kingdom,17850.0,51208.87,29
United Kingdom,13408.0,50174.782,30
United Kingdom,13777.0,49638.26,31
United Kingdom,13881.0,45179.1,32
United Kingdom,15749.0,44534.3,33
United Kingdom,16705.0,43515.051,34
United Kingdom,15098.0,39916.5,35
United Kingdom,15039.0,39141.48,36
United Kingdom,14031.0,39019.51,37
United Kingdom,17675.0,37642.48,38
United Kingdom,17381.0,36398.65,39
United Kingdom,12921.0,35233.24,40
United Kingdom,17677.0,35058.46,41
United Kingdom,13767.0,33903.57,42
United Kingdom,16210.0,33750.97,43
United Kingdom,16779.0,32809.03,44
United Kingdom,15856.0,32275.95,45
United Kingdom,14258.0,32051.34,46
United Kingdom,17428.0,31466.760000000002,47
United Kingdom,17940.0,30306.79,48
United Kingdom,14606.0,29951.37,49
United Kingdom,13078.0,29018.06,50
United Kingdom,13098.0,28882.44,51
United Kingdom,17857.0,27347.04,52
United Kingdom,14527.0,27246.88,53
United Kingdom,16333.0,26626.8,54
United Kingdom,15513.0,26437.05,55
United Kingdom,17865.0,26312.190000000002,56
United Kingdom,18251.0,26278.86,57
United Kingdom,13802.0,26259.11,58
United Kingdom,14062.0,25585.65,59
United Kingdom,12939.0,25264.8,60
United Kingdom,14895.0,25119.54,61
United Kingdom,15498.0,24972.86,62
United Kingdom,16525.0,24151.3,63
United Kingdom,13001.0,24042.65,64
United Kingdom,14607.0,23763.13,65
United Kingdom,17920.0,23581.78,66
United Kingdom,15640.0,23494.31,67
United Kingdom,16133.0,22992.26,68
United Kingdom,14063.0,22710.2,69
United Kingdom,15159.0,22116.73,70
United Kingdom,13340.0,22100.56,71
United Kingdom,14051.0,21770.98,72
United Kingdom,16839.0,21758.25,73
United Kingdom,15615.0,21373.97,74
United Kingdom,13319.0,21323.22,75
United Kingdom,14866.0,20746.54,76
United Kingdom,14667.0,20395.34,77
United Kingdom,15251.0,20324.54,78
United Kingdom,17706.0,20272.15,79
United Kingdom,17243.0,20203.58,80
United Kingdom,18008.0,19759.079999999998,81
United Kingdom,17340.0,19617.95,82
United Kingdom,16843.0,19571.43,83
United Kingdom,17139.0,19566.76,84
United Kingdom,14194.0,18670.59,85
United Kingdom,13113.0,18230.07,86
United Kingdom,16746.0,18046.75,87
United Kingdom,17581.0,17951.170000000002,88
United Kingdom,12901.0,17654.54,89
United Kingdom,17377.0,17644.27,90
United Kingdom,14952.0,17629.35,91
United Kingdom,16652.0,17550.39,92
United Kingdom,15189.0,17524.38,93
United Kingdom,18172.0,17467.24,94
United Kingdom,16019.0,17329.16,95
United Kingdom,17416.0,17298.45,96
United Kingdom,15078.0,17286.73,97
United Kingdom,15523.0,17259.19,98
United Kingdom,13027.0,17239.2,99
United Kingdom,15808.0,17180.25,100
United Kingdom,15125.0,17024.87,101
United Kingdom,16656.0,16833.170000000002,102
United Kingdom,17735.0,16790.33,103
United Kingdom,16553.0,16584.01,104
United Kingdom,13564.0,16498.97,105
United Kingdom,15358.0,16425.86,106
United Kingdom,14961.0,16410.15,107
United Kingdom,13225.0,16260.07,108
United Kingdom,16180.0,16249.87,109
United Kingdom,12980.0,16245.78,110
United Kingdom,17107.0,16052.72,111
United Kingdom,15044.0,16024.15,112
United Kingdom,13199.0,15964.210000000001,113
United Kingdom,17716.0,15956.970000000001,114
United Kingdom,12971.0,15704.6,115
United Kingdom,16191.0,15677.82,116
United Kingdom,12949.0,15526.7,117
United Kingdom,14769.0,15514.11,118
United Kingdom,14849.0,15407.61,119
United Kingdom,15768.0,15308.89,120
United Kingdom,18087.0,14761.52,121
United Kingdom,18092.0,14693.720000000001,122
United Kingdom,16126.0,14644.6,123
United Kingdom,17133.0,14622.33,124
United Kingdom,16873.0,14617.39,125
United Kingdom,14543.0,14587.87,126
United Kingdom,17448.0,14523.67,127
United Kingdom,15482.0,14417.36,128
United Kingdom,14733.0,14335.15,129
United Kingdom,13488.0,14205.960000000001,130
United Kingdom,15601.0,14191.74,131
United Kingdom,16713.0,14115.56,132
United Kingdom,14299.0,14070.25,133
United Kingdom,13178.0,14059.19,134
United Kingdom,18223.0,14000.85,135
United Kingdom,17589.0,13837.94,136
United Kingdom,15005.0,13754.58,137
United Kingdom,15382.0,13733.550000000001,138
United Kingdom,15093.0,13702.38,139
United Kingdom,12989.0,13551.75,140
United Kingdom,15291.0,13517.76,141
United Kingdom,13629.0,13370.86,142
United Kingdom,13097.0,13324.1,143
United Kingdom,16558.0,13304.11,144
United Kingdom,16923.0,13157.130000000001,145
United Kingdom,13090.0,13091.74,146
United Kingdom,15738.0,13043.32,147
United Kingdom,14049.0,13023.4,148
United Kingdom,18225.0,13014.8,149
United Kingdom,15502.0,13003.869999999999,150
United Kingdom,14110.0,12987.95,151
United Kingdom,13969.0,12973.460000000001,152
United Kingdom,13668.0,12948.48,153
United Kingdom,13316.0,12940.82,154
United Kingdom,13952.0,12823.521,155
United Kingdom,13468.0,12793.28,156
United Kingdom,16549.0,12781.8,157
United Kingdom,16161.0,12580.06,158
United Kingdom,17017.0,12576.99,159
United Kingdom,14040.0,12523.81,160
United Kingdom,17858.0,12518.65,161
United Kingdom,16000.0,12393.7,162
United Kingdom,14735.0,12240.16,163
United Kingdom,15144.0,12160.31,164
United Kingdom,15465.0,12100.4,165
United Kingdom,15194.0,12021.53,166
United Kingdom,13050.0,11986.52,167
United Kingdom,14415.0,11980.09,168
United Kingdom,17364.0,11972.92,169
United Kingdom,17044.0,11962.300000000001,170
United Kingdom,13458.0,11959.27,171
United Kingdom,13854.0,11944.56,172
United Kingdom,16258.0,11942.52,173
United Kingdom,16814.0,11924.85,174
United Kingdom,16523.0,11916.33,175
United Kingdom,17338.0,11889.33,176
United Kingdom,13687.0,11880.84,177
United Kingdom,14505.0,11879.08,178
United Kingdom,18226.0,11878.88,179
United Kingdom,14426.0,11727.94,180
United Kingdom,13004.0,11650.85,181
United Kingdom,15023.0,11578.65,182
United Kingdom,14739.0,11573.62,183
United Kingdom,13418.0,11559.66,184
United Kingdom,15218.0,11468.83,185
United Kingdom,13680.0,11419.67,186
United Kingdom,13102.0,11380.1,187
United Kingdom,15874.0,11284.76,188
United Kingdom,15555.0,11243.91,189
United Kingdom,13576.0,11202.59,190
United Kingdom,14134.0,11123.35,191
United Kingdom,13013.0,11097.43,192
United Kingdom,15032.0,11010.05,193
United Kingdom,14045.0,10986.63,194
United Kingdom,12918.0,10953.5,195
United Kingdom,16985.0,10923.16,196
United Kingdom,18052.0,10877.18,197
United Kingdom,16033.0,10608.81,198
United Kingdom,13324.0,10513.47,199
United Kingdom,15290.0,10496.28,200
United Kingdom,14028.0,10396.5,201
United Kingdom,16168.0,10360.67,202
United Kingdom,16984.0,10350.53,203
United Kingdom,15296.0,10323.03,204
United Kingdom,14422.0,10271.52,205
United Kingdom,17160.0,10209.16,206
United Kingdom,15719.0,10195.97,207
United Kingdom,14796.0,10169.33,208
United Kingdom,16327.0,10159.64,209
United Kingdom,18229.0,10150.51,210
United Kingdom,15805.0,10148.93,211
United Kingdom,18055.0,10142.64,212
United Kingdom,17809.0,10085.89,213
United Kingdom,15547.0,10057.05,214
United Kingdom,13941.0,10027.18,215
United Kingdom,13985.0,10020.86,216
United Kingdom,15694.0,9978.48,217
United Kingdom,14755.0,9972.550000000001,218
United Kingdom,16182.0,9971.65,219
United Kingdom,14101.0,9961.93,220
United Kingdom,16131.0,9957.42,221
United Kingdom,18260.0,9947.26,222
United Kingdom,17049.0,9942.53,223
United Kingdom,16701.0,9916.73,224
United Kingdom,14329.0,9887.62,225
United Kingdom,14828.0,9839.460000000001,226
United Kingdom,13599.0,9811.04,227
United Kingdom,16353.0,9795.460000000001,228
United Kingdom,14944.0,9784.67,229
United Kingdom,17306.0,9782.35,230
United Kingdom,13018.0,9763.16,231
United Kingdom,13735.0,9762.77,232
United Kingdom,14085.0,9720.67,233
United Kingdom,12839.0,9669.12,234
United Kingdom,16782.0,9636.12,235
United Kingdom,17315.0,9599.58,236
United Kingdom,18109.0,9555.71,237
United Kingdom,14091.0,9530.08,238
United Kingdom,17811.0,9519.8,239
United Kingdom,13999.0,9502.26,240
United Kingdom,17504.0,9490.17,241
United Kingdom,14146.0,9450.3,242
United Kingdom,13267.0,9429.81,243
United Kingdom,17230.0,9388.49,244
United Kingdom,15727.0,9371.71,245
United Kingdom,15981.0,9362.77,246
United Kingdom,13069.0,9284.45,247
United Kingdom,13162.0,9275.49,248
United Kingdom,15249.0,9266.0,249
United Kingdom,14367.0,9227.82,250
United Kingdom,14292.0,9226.25,251
United Kingdom,13327.0,9134.48,252
United Kingdom,17757.0,9074.05,253
United Kingdom,15298.0,9061.77,254
United Kingdom,15939.0,9060.39,255
United Kingdom,16709.0,9056.01,256
United Kingdom,17068.0,8987.68,257
United Kingdom,15150.0,8977.94,258
United Kingdom,15903.0,8939.84,259
United Kingdom,15867.0,8923.3,260
United Kingdom,12747.0,8898.48,261
United Kingdom,14060.0,8898.24,262
United Kingdom,13555.0,8891.84,263
United Kingdom,14709.0,8886.33,264
United Kingdom,14135.0,8839.67,265
United Kingdom,16700.0,8830.77,266
United Kingdom,16550.0,8813.58,267
United Kingdom,15260.0,8767.73,268
United Kingdom,16532.0,8756.64,269
United Kingdom,13448.0,8745.93,270
United Kingdom,15570.0,8736.49,271
United Kingdom,16186.0,8718.43,272
United Kingdom,17576.0,8711.95,273
United Kingdom,12957.0,8706.97,274
United Kingdom,13758.0,8698.13,275
United Kingdom,13263.0,8676.2,276
United Kingdom,15497.0,8657.39,277
United Kingdom,13756.0,8655.95,278
United Kingdom,16945.0,8548.16,279
